timestamp_ms,tilt_setting_deg,lux,temp_c,voltage_v,current_ma,power_w,power_corrected_w,temp_correction_pct,tilt_measured_deg,cumulative_wh,system_time
0,13,55.0,26.31,0.0,0.0,0.0,0.0,-0.0052,6.11,0.0,2026-06-22 08:56:13
30000,13,55.0,26.37,0.0,-0.2,0.0,0.0,-0.0055,6.24,0.0,2026-06-22 08:56:14
60000,13,54.17,26.37,0.0,0.1,0.0,0.0,-0.0055,6.28,0.0,2026-06-22 08:56:16
90000,13,57.5,26.37,0.0,0.0,0.0,0.0,-0.0055,6.17,0.0,2026-06-22 08:56:17
120000,13,55.83,26.37,0.0,-0.2,0.0,0.0,-0.0055,6.04,0.0,2026-06-22 08:56:19
150000,13,55.83,26.37,0.0,-0.2,0.0,0.0,-0.0055,5.84,0.0,2026-06-22 08:56:20
180000,13,55.83,26.37,0.0,0.0,0.0,0.0,-0.0055,6.49,0.0,2026-06-22 08:56:22
210000,13,55.83,26.37,0.0,-0.1,0.0,0.0,-0.0055,6.37,0.0,2026-06-22 08:56:23
240000,13,54.17,26.31,0.0,-0.2,0.0,0.0,-0.0052,6.13,0.0,2026-06-22 08:56:25
270000,13,48.33,26.37,0.0,0.0,0.0,0.0,-0.0055,6.09,0.0,2026-06-22 08:56:26
300000,13,56.67,26.37,0.0,-0.2,0.0,0.0,-0.0055,6.4,0.0,2026-06-22 08:56:28
330000,13,55.83,26.37,0.0,-0.2,0.0,0.0,-0.0055,6.05,0.0,2026-06-22 08:56:29
360000,13,40.83,26.37,0.0,-0.2,0.0,0.0,-0.0055,5.65,0.0,2026-06-22 08:56:31
390000,13,38.33,26.44,0.0,-0.1,0.0,0.0,-0.0058,2.5,0.0,2026-06-22 08:56:32
420000,13,37.5,26.37,0.0,-0.1,0.0,0.0,-0.0055,3.11,0.0,2026-06-22 08:56:34
450000,13,38.33,26.37,0.0,-0.4,0.0,0.0,-0.0055,3.02,0.0,2026-06-22 08:56:36
480000,13,40.0,26.37,0.0,-0.1,0.0,0.0,-0.0055,3.11,0.0,2026-06-22 08:56:37
510000,13,50.0,26.37,0.0,0.0,0.0,0.0,-0.0055,2.71,0.0,2026-06-22 08:56:39
540000,13,55.0,26.37,0.0,-0.1,0.0,0.0,-0.0055,9.15,0.0,2026-06-22 08:56:40
570000,13,55.0,26.37,0.0,-0.2,0.0,0.0,-0.0055,8.89,0.0,2026-06-22 08:56:42
600000,13,55.0,26.37,0.0,-0.1,0.0,0.0,-0.0055,8.99,0.0,2026-06-22 08:56:43
630000,13,52.5,26.44,0.0,-0.1,0.0,0.0,-0.0058,8.73,0.0,2026-06-22 08:56:45
660000,13,50.83,26.44,0.0,-0.3,0.0,0.0,-0.0058,3.58,0.0,2026-06-22 08:56:46
690000,13,51.67,26.44,0.0,0.1,0.0,0.0,-0.0058,7.15,0.0,2026-06-22 08:56:48
720000,13,51.67,26.44,0.0,-0.3,0.0,0.0,-0.0058,7.04,0.0,2026-06-22 08:56:49
750000,13,52.5,26.44,0.0,-0.3,0.0,0.0,-0.0058,7.63,0.0,2026-06-22 08:56:51
780000,13,51.67,26.44,0.0,0.0,0.0,0.0,-0.0058,6.97,0.0,2026-06-22 08:56:52
810000,13,50.0,26.44,0.0,0.0,0.0,0.0,-0.0058,6.05,0.0,2026-06-22 08:56:54
840000,13,51.67,26.44,0.0,0.0,0.0,0.0,-0.0058,6.87,0.0,2026-06-22 08:56:55
870000,13,48.33,26.44,0.0,-0.3,0.0,0.0,-0.0058,3.18,0.0,2026-06-22 08:56:57
900000,13,42.5,26.5,0.0,-0.4,0.0,0.0,-0.006,23.71,0.0,2026-06-22 08:56:58
930000,13,40.0,26.44,0.0,0.0,0.0,0.0,-0.0058,54.36,0.0,2026-06-22 08:57:00
960000,13,35.83,26.44,0.0,0.1,0.0,0.0,-0.0058,52.16,0.0,2026-06-22 08:57:01
990000,13,33.33,26.44,0.0,-0.1,0.0,0.0,-0.0058,69.3,0.0,2026-06-22 08:57:03
1020000,13,32.5,26.5,0.0,-0.3,0.0,0.0,-0.006,68.83,0.0,2026-06-22 08:57:04
1050000,13,32.5,26.5,0.0,-0.3,0.0,0.0,-0.006,53.85,0.0,2026-06-22 08:57:06
1080000,13,40.83,26.5,0.0,-0.2,0.0,0.0,-0.006,18.22,0.0,2026-06-22 08:57:07
1110000,13,39.17,26.5,0.0,0.0,0.0,0.0,-0.006,13.31,0.0,2026-06-22 08:57:09
1140000,13,40.83,26.5,0.0,0.0,0.0,0.0,-0.006,8.41,0.0,2026-06-22 08:57:10
1170000,13,42.5,26.56,0.0,0.0,0.0,0.0,-0.0062,7.87,0.0,2026-06-22 08:57:12
1200000,13,44.17,26.56,0.0,-0.1,0.0,0.0,-0.0062,7.3,0.0,2026-06-22 08:57:13
1230000,13,45.0,26.56,0.0,-0.1,0.0,0.0,-0.0062,13.72,0.0,2026-06-22 08:57:15
1260000,13,45.0,26.62,0.0,-0.1,0.0,0.0,-0.0065,14.8,0.0,2026-06-22 08:57:16
1290000,13,45.83,26.62,0.0,-0.2,0.0,0.0,-0.0065,17.83,0.0,2026-06-22 08:57:18
1320000,13,50.83,26.62,0.0,-0.1,0.0,0.0,-0.0065,8.61,0.0,2026-06-22 08:57:19
1350000,13,55.83,26.62,0.0,0.2,0.0,0.0,-0.0065,8.74,0.0,2026-06-22 08:57:21
1380000,13,47.5,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.39,0.0,2026-06-22 08:57:22
1410000,13,44.17,26.62,0.0,0.0,0.0,0.0,-0.0065,8.18,0.0,2026-06-22 08:57:24
1440000,13,46.67,26.62,0.0,0.0,0.0,0.0,-0.0065,8.09,0.0,2026-06-22 08:57:25
1470000,13,42.5,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.08,0.0,2026-06-22 08:57:27
1500000,13,44.17,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.34,0.0,2026-06-22 08:57:28
1530000,13,46.67,26.62,0.0,-0.3,0.0,0.0,-0.0065,9.7,0.0,2026-06-22 08:57:30
1560000,13,46.67,26.62,0.0,-0.2,0.0,0.0,-0.0065,9.59,0.0,2026-06-22 08:57:31
1590000,13,46.67,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.77,0.0,2026-06-22 08:57:33
1620000,13,45.83,26.62,0.0,-0.2,0.0,0.0,-0.0065,9.96,0.0,2026-06-22 08:57:34
1650000,13,44.17,26.62,0.0,-0.3,0.0,0.0,-0.0065,9.53,0.0,2026-06-22 08:57:36
1680000,13,45.0,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.65,0.0,2026-06-22 08:57:37
1710000,13,42.5,26.62,0.0,0.0,0.0,0.0,-0.0065,9.96,0.0,2026-06-22 08:57:39
1740000,13,0.83,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.2,0.0,2026-06-22 08:57:40
1770000,13,35.0,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.61,0.0,2026-06-22 08:57:42
1800000,13,35.0,26.62,0.0,0.2,0.0,0.0,-0.0065,9.86,0.0,2026-06-22 08:57:43
1830000,13,35.0,26.62,0.0,-0.2,0.0,0.0,-0.0065,9.57,0.0,2026-06-22 08:57:45
1860000,13,35.0,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.79,0.0,2026-06-22 08:57:46
1890000,13,35.83,26.62,0.0,0.0,0.0,0.0,-0.0065,9.81,0.0,2026-06-22 08:57:48
1920000,13,42.5,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.0,0.0,2026-06-22 08:57:49
1950000,13,48.33,26.56,0.0,0.2,0.0,0.0,-0.0062,9.93,0.0,2026-06-22 08:57:51
1980000,13,54.17,26.56,0.0,-0.5,0.0,0.0,-0.0062,9.6,0.0,2026-06-22 08:57:52
2010000,13,55.0,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.27,0.0,2026-06-22 08:57:54
2040000,13,56.67,26.62,0.0,0.1,0.0,0.0,-0.0065,9.77,0.0,2026-06-22 08:57:56
2070000,13,56.67,26.62,0.0,-0.3,0.0,0.0,-0.0065,9.97,0.0,2026-06-22 08:57:57
2100000,13,57.5,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.36,0.0,2026-06-22 08:57:59
2130000,13,56.67,26.56,0.0,-0.2,0.0,0.0,-0.0062,9.82,0.0,2026-06-22 08:58:00
2160000,13,56.67,26.56,0.0,-0.2,0.0,0.0,-0.0062,9.9,0.0,2026-06-22 08:58:02
2190000,13,56.67,26.62,0.0,0.0,0.0,0.0,-0.0065,10.04,0.0,2026-06-22 08:58:03
2220000,13,57.5,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.98,0.0,2026-06-22 08:58:05
2250000,13,57.5,26.62,0.0,0.2,0.0,0.0,-0.0065,10.27,0.0,2026-06-22 08:58:06
2280000,13,58.33,26.62,0.0,-0.1,0.0,0.0,-0.0065,9.77,0.0,2026-06-22 08:58:08
2310000,13,58.33,26.62,0.0,0.0,0.0,0.0,-0.0065,9.66,0.0,2026-06-22 08:58:09
2340000,13,48.33,26.62,0.0,-0.3,0.0,0.0,-0.0065,9.75,0.0,2026-06-22 08:58:11
2370000,13,56.67,26.62,0.0,0.0,0.0,0.0,-0.0065,10.15,0.0,2026-06-22 08:58:12
2400000,13,55.0,26.62,0.0,0.0,0.0,0.0,-0.0065,10.1,0.0,2026-06-22 08:58:14
2430000,13,49.17,26.69,0.0,-0.3,0.0,0.0,-0.0068,9.88,0.0,2026-06-22 08:58:15
2460000,13,48.33,26.62,0.0,-0.3,0.0,0.0,-0.0065,10.33,0.0,2026-06-22 08:58:17
2490000,13,55.83,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.26,0.0,2026-06-22 08:58:18
2520000,13,55.0,26.62,0.0,-0.3,0.0,0.0,-0.0065,9.94,0.0,2026-06-22 08:58:20
2550000,13,25.83,26.62,0.0,0.2,0.0,0.0,-0.0065,10.16,0.0,2026-06-22 08:58:21
2580000,13,55.83,26.62,0.0,0.0,0.0,0.0,-0.0065,9.81,0.0,2026-06-22 08:58:23
2610000,13,25.83,26.62,0.0,0.0,0.0,0.0,-0.0065,10.13,0.0,2026-06-22 08:58:24
2640000,13,28.33,26.62,0.0,-0.2,0.0,0.0,-0.0065,9.88,0.0,2026-06-22 08:58:26
2670000,13,24.17,26.62,0.0,0.0,0.0,0.0,-0.0065,10.38,0.0,2026-06-22 08:58:27
2700000,13,50.83,26.62,0.0,0.1,0.0,0.0,-0.0065,10.35,0.0,2026-06-22 08:58:29
2730000,13,49.17,26.62,0.0,-0.4,0.0,0.0,-0.0065,9.77,0.0,2026-06-22 08:58:30
2760000,13,56.67,26.62,0.0,0.0,0.0,0.0,-0.0065,10.12,0.0,2026-06-22 08:58:32
2790000,13,58.33,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.12,0.0,2026-06-22 08:58:33
2820000,13,58.33,26.62,0.0,0.0,0.0,0.0,-0.0065,10.03,0.0,2026-06-22 08:58:35
2850000,13,56.67,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.17,0.0,2026-06-22 08:58:36
2880000,13,56.67,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.32,0.0,2026-06-22 08:58:38
2910000,13,56.67,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.2,0.0,2026-06-22 08:58:39
2940000,13,56.67,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.3,0.0,2026-06-22 08:58:41
2970000,13,56.67,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.3,0.0,2026-06-22 08:58:42
3000000,13,57.5,26.62,0.0,-0.3,0.0,0.0,-0.0065,10.04,0.0,2026-06-22 08:58:44
3030000,13,57.5,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.1,0.0,2026-06-22 08:58:45
3060000,13,57.5,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.4,0.0,2026-06-22 08:58:47
3090000,13,57.5,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.6,0.0,2026-06-22 08:58:48
3120000,13,57.5,26.62,0.0,0.0,0.0,0.0,-0.0065,10.35,0.0,2026-06-22 08:58:50
3150000,13,56.67,26.62,0.0,-0.3,0.0,0.0,-0.0065,10.06,0.0,2026-06-22 08:58:51
3180000,13,55.0,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.29,0.0,2026-06-22 08:58:53
3210000,13,55.83,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.37,0.0,2026-06-22 08:58:54
3240000,13,57.5,26.62,0.0,0.2,0.0,0.0,-0.0065,10.18,0.0,2026-06-22 08:58:56
3270000,13,57.5,26.62,0.0,-0.2,0.0,0.0,-0.0065,10.4,0.0,2026-06-22 08:58:57
3300000,13,57.5,26.69,0.0,0.1,0.0,0.0,-0.0068,9.95,0.0,2026-06-22 08:58:59
3330000,13,57.5,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.1,0.0,2026-06-22 08:59:00
3360000,13,57.5,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.26,0.0,2026-06-22 08:59:02
3390000,13,58.33,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.0,0.0,2026-06-22 08:59:03
3420000,13,58.33,26.62,0.0,-0.1,0.0,0.0,-0.0065,10.39,0.0,2026-06-22 08:59:05
3450000,13,56.67,26.69,0.0,0.0,0.0,0.0,-0.0068,10.23,0.0,2026-06-22 08:59:06
3480000,13,55.83,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.07,0.0,2026-06-22 08:59:08
3510000,13,55.83,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.49,0.0,2026-06-22 08:59:09
3540000,13,55.83,26.69,0.0,0.1,0.0,0.0,-0.0068,10.1,0.0,2026-06-22 08:59:11
3570000,13,55.83,26.69,0.0,-0.1,0.0,0.0,-0.0068,10.13,0.0,2026-06-22 08:59:12
